formula,name,description
H2O,Water,Clear liquid essential for life
CO2,Carbon Dioxide,Gas produced by respiration and combustion
H2SO4,Sulfuric Acid,Strong mineral acid used in industry
NaCl,Sodium Chloride,Common salt used in food and chemical industries
C6H12O6,Glucose,Simple sugar and primary energy source
CH4,Metana,Gas rumah kaca yang dihasilkan dari proses alami
NH3,Amonia,Gas yang memiliki bau tajam biasa digunakan dalam pupuk
C2H5OH,Etanol,Alkohol yang digunakan dalam minuman dan bahan bakar
CaCO3,Kalsium Karbonat,Senyawa yang ditemukan dalam batu kapur dan cangkang hewan
HCl,Asam Klorida,Asam kuat yang digunakan dalam pembuatan bahan kimia
NaHCO3,Natrium Bikarbonat,Senyawa yang digunakan sebagai pengembang dalam memasak
C6H10O5,Selulosa,Polimer alami yang membentuk dinding sel tumbuhan
H2O2,Hidrogen Peroksida,Senyawa yang digunakan sebagai pemutih dan antiseptik
C12H22O11,Sukrosa,Gula tebu atau gula bit biasa digunakan sebagai pemanis
Fe2O3,Besi(III) Oksida,Senyawa yang umum ditemukan sebagai karat besi
